Vendor,Product,Version,Release,Azure Feature,LifecyclePolicy,StartDate,EndOfSupport,DaysToEOS,LifecycleStatus
,Windows Server 2008,Enterprise,Original Release,,Fixed,06/05/2008,12/07/2011,-5523,Out of Support
,Windows Server 2008,Enterprise,Service Pack 2,,Fixed,29/04/2009,14/01/2020,-2415,Out of Support
,Windows Server 2008,Enterprise without Hyper-V,Extended Security Update Year 1,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows Server 2008,Enterprise without Hyper-V,Extended Security Update Year 2,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows Server 2008,Enterprise without Hyper-V,Extended Security Update Year 3,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows Server 2008,Enterprise without Hyper-V,Extended Security Update Year 4 (Azure only),,Fixed,11/01/2023,09/01/2024,-959,Out of Support
,Windows Server 2008,Enterprise without Hyper-V,Original Release,,Fixed,06/05/2008,12/07/2011,-5523,Out of Support
,Windows Server 2008,Enterprise without Hyper-V,Service Pack 2,,Fixed,29/04/2009,14/01/2020,-2415,Out of Support
,Windows Server 2008,for Itanium-Based Systems,Extended Security Update Year 1,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows Server 2008,for Itanium-Based Systems,Extended Security Update Year 2,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows Server 2008,for Itanium-Based Systems,Extended Security Update Year 3,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows Server 2008,for Itanium-Based Systems,Extended Security Update Year 4 (Azure only),,Fixed,11/01/2023,09/01/2024,-959,Out of Support
,Windows Server 2008,for Itanium-Based Systems,Original Release,,Fixed,06/05/2008,12/07/2011,-5523,Out of Support
,Windows Server 2008,for Itanium-Based Systems,Service Pack 2,,Fixed,29/04/2009,14/01/2020,-2415,Out of Support
,Windows Server 2008,Foundation,Extended Security Update Year 1,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows Server 2008,Foundation,Extended Security Update Year 2,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows Server 2008,Foundation,Extended Security Update Year 3,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows Server 2008,Foundation,Extended Security Update Year 4 (Azure only),,Fixed,11/01/2023,09/01/2024,-959,Out of Support
,Windows Server 2008,Foundation,Original Release,,Fixed,06/05/2008,12/07/2011,-5523,Out of Support
,Windows Server 2008,Foundation,Service Pack 2,,Fixed,29/04/2009,14/01/2020,-2415,Out of Support
,Windows Server 2008,Standard,Extended Security Update Year 1,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows Server 2008,Standard,Extended Security Update Year 2,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows Server 2008,Standard,Extended Security Update Year 3,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows Server 2008,Standard,Extended Security Update Year 4 (Azure only),,Fixed,11/01/2023,09/01/2024,-959,Out of Support
,Windows Server 2008,Standard,Original Release,,Fixed,06/05/2008,12/07/2011,-5523,Out of Support
,Windows Server 2008,Standard,Service Pack 2,,Fixed,29/04/2009,14/01/2020,-2415,Out of Support
,Windows Server 2008,Standard without Hyper-V,Extended Security Update Year 1,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows Server 2008,Standard without Hyper-V,Extended Security Update Year 2,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows Server 2008,Standard without Hyper-V,Extended Security Update Year 3,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows Server 2008,Standard without Hyper-V,Extended Security Update Year 4 (Azure only),,Fixed,11/01/2023,09/01/2024,-959,Out of Support
,Windows Server 2008,Standard without Hyper-V,Original Release,,Fixed,06/05/2008,12/07/2011,-5523,Out of Support
,Windows Server 2008,Standard without Hyper-V,Service Pack 2,,Fixed,29/04/2009,14/01/2020,-2415,Out of Support
,Windows Server 2008,Web,Extended Security Update Year 1,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows Server 2008,Web,Extended Security Update Year 2,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows Server 2008,Web,Extended Security Update Year 3,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows Server 2008,Web,Extended Security Update Year 4 (Azure only),,Fixed,11/01/2023,09/01/2024,-959,Out of Support
,Windows Server 2008,Web,Original Release,,Fixed,06/05/2008,12/07/2011,-5523,Out of Support
,Windows Server 2008,Web,Service Pack 2,,Fixed,29/04/2009,14/01/2020,-2415,Out of Support
,Windows Server 2008 for Windows Essential Server Solutions,Standard,Original Release,,Fixed,18/02/2009,12/07/2011,-5523,Out of Support
,Windows Server 2008 for Windows Essential Server Solutions,Standard,Service Pack 2,,Fixed,29/04/2009,14/01/2020,-2415,Out of Support
,Windows Server 2008 for Windows Essential Server Solutions,without Hyper-V,Original Release,,Fixed,18/02/2009,12/07/2011,-5523,Out of Support
,Windows Server 2008 for Windows Essential Server Solutions,without Hyper-V,Service Pack 2,,Fixed,29/04/2009,14/01/2020,-2415,Out of Support
,Windows Server 2008 R2,Datacenter,Extended Security Update Year 1,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows Server 2008 R2,Datacenter,Extended Security Update Year 2,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows Server 2008 R2,Datacenter,Extended Security Update Year 3,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows Server 2008 R2,Datacenter,Extended Security Update Year 4 (Azure only),,Fixed,11/01/2023,09/01/2024,-959,Out of Support
,Windows Server 2008 R2,Datacenter,Original Release,,Fixed,22/10/2009,09/04/2013,-4886,Out of Support
,Windows Server 2008 R2,Datacenter,Service Pack 1,,Fixed,22/02/2011,14/01/2020,-2415,Out of Support
,Windows Server 2008 R2,Enterprise,Extended Security Update Year 1,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows Server 2008 R2,Enterprise,Extended Security Update Year 2,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows Server 2008 R2,Enterprise,Extended Security Update Year 3,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows Server 2008 R2,Enterprise,Extended Security Update Year 4 (Azure only),,Fixed,11/01/2023,09/01/2024,-959,Out of Support
,Windows Server 2008 R2,Enterprise,Original Release,,Fixed,22/10/2009,09/04/2013,-4886,Out of Support
,Windows Server 2008 R2,Enterprise,Service Pack 1,,Fixed,22/02/2011,14/01/2020,-2415,Out of Support
,Windows Server 2008 R2,HPC Edition,Extended Security Update Year 1,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows Server 2008 R2,HPC Edition,Extended Security Update Year 2,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows Server 2008 R2,HPC Edition,Extended Security Update Year 3,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows Server 2008 R2,HPC Edition,Extended Security Update Year 4 (Azure only),,Fixed,11/01/2023,09/01/2024,-959,Out of Support
,Windows Server 2008 R2,HPC Edition,Original Release,,Fixed,22/10/2009,09/04/2013,-4886,Out of Support
,Windows Server 2008 R2,HPC Edition,Service Pack 1,,Fixed,22/02/2011,14/01/2020,-2415,Out of Support
,Windows Server 2008 R2,Itanium-Based Systems,Extended Security Update Year 1,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows Server 2008 R2,Itanium-Based Systems,Extended Security Update Year 2,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows Server 2008 R2,Itanium-Based Systems,Extended Security Update Year 3,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows Server 2008 R2,Itanium-Based Systems,Extended Security Update Year 4 (Azure only),,Fixed,11/01/2023,09/01/2024,-959,Out of Support
,Windows Server 2008 R2,Itanium-Based Systems,Original Release,,Fixed,22/10/2009,09/04/2013,-4886,Out of Support
,Windows Server 2008 R2,Itanium-Based Systems,Service Pack 1,,Fixed,22/02/2011,14/01/2020,-2415,Out of Support
,Windows Server 2008 R2,Standard,Extended Security Update Year 1,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows Server 2008 R2,Standard,Extended Security Update Year 2,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows Server 2008 R2,Standard,Extended Security Update Year 3,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows Server 2008 R2,Standard,Extended Security Update Year 4 (Azure only),,Fixed,11/01/2023,09/01/2024,-959,Out of Support
,Windows Server 2008 R2,Standard,Original Release,,Fixed,22/10/2009,09/04/2013,-4886,Out of Support
,Windows Server 2008 R2,Standard,Service Pack 1,,Fixed,22/02/2011,14/01/2020,-2415,Out of Support
,Windows Server 2008 R2,Web,Extended Security Update Year 1,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows Server 2008 R2,Web,Extended Security Update Year 2,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows Server 2008 R2,Web,Extended Security Update Year 3,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows Server 2008 R2,Web,Extended Security Update Year 4 (Azure only),,Fixed,11/01/2023,09/01/2024,-959,Out of Support
,Windows Server 2008 R2,Web,Original Release,,Fixed,22/10/2009,09/04/2013,-4886,Out of Support
,Windows Server 2008 R2,Web,Service Pack 1,,Fixed,22/02/2011,14/01/2020,-2415,Out of Support
,Windows Server 2012,Datacenter,Extended Security Update Year 1,,Fixed,11/10/2023,08/10/2024,-686,Out of Support
,Windows Server 2012,Datacenter,Extended Security Update Year 2,,Fixed,09/10/2024,14/10/2025,-315,Out of Support
,Windows Server 2012,Datacenter,Original Release,,Fixed,30/10/2012,10/10/2023,-1050,Out of Support
,Windows Server 2012,Essentials,Extended Security Update Year 1,,Fixed,11/10/2023,08/10/2024,-686,Out of Support
,Windows Server 2012,Essentials,Extended Security Update Year 2,,Fixed,09/10/2024,14/10/2025,-315,Out of Support
,Windows Server 2012,Essentials,Original Release,,Fixed,30/10/2012,10/10/2023,-1050,Out of Support
,Windows Server 2012,External Connector,Extended Security Update Year 1,,Fixed,11/10/2023,08/10/2024,-686,Out of Support
,Windows Server 2012,External Connector,Extended Security Update Year 2,,Fixed,09/10/2024,14/10/2025,-315,Out of Support
,Windows Server 2012,External Connector,Original Release,,Fixed,30/10/2012,10/10/2023,-1050,Out of Support
,Windows Server 2012,for Embedded Systems,Extended Security Update Year 1,,Fixed,11/10/2023,08/10/2024,-686,Out of Support
,Windows Server 2012,for Embedded Systems,Extended Security Update Year 2,,Fixed,09/10/2024,14/10/2025,-315,Out of Support
,Windows Server 2012,for Embedded Systems,Original Release,,Fixed,30/10/2012,10/10/2023,-1050,Out of Support
,Windows Server 2012,Foundation,Extended Security Update Year 1,,Fixed,11/10/2023,08/10/2024,-686,Out of Support
,Windows Server 2012,Foundation,Extended Security Update Year 2,,Fixed,09/10/2024,14/10/2025,-315,Out of Support
,Windows Server 2012,Foundation,Original Release,,Fixed,30/10/2012,10/10/2023,-1050,Out of Support
,Windows Server 2012,Standard,Extended Security Update Year 1,,Fixed,11/10/2023,08/10/2024,-686,Out of Support
,Windows Server 2012,Standard,Extended Security Update Year 2,,Fixed,09/10/2024,14/10/2025,-315,Out of Support
,Windows Server 2012,Standard,Original Release,,Fixed,30/10/2012,10/10/2023,-1050,Out of Support
,Windows Server 2012 R2,Datacenter,Extended Security Update Year 1,,Fixed,11/10/2023,08/10/2024,-686,Out of Support
,Windows Server 2012 R2,Datacenter,Extended Security Update Year 2,,Fixed,09/10/2024,14/10/2025,-315,Out of Support
,Windows Server 2012 R2,Datacenter,Original Release,,Fixed,25/11/2013,10/10/2023,-1050,Out of Support
,Windows Server 2012 R2,Essentials,Extended Security Update Year 1,,Fixed,11/10/2023,08/10/2024,-686,Out of Support
,Windows Server 2012 R2,Essentials,Extended Security Update Year 2,,Fixed,09/10/2024,14/10/2025,-315,Out of Support
,Windows Server 2012 R2,Essentials,Original Release,,Fixed,25/11/2013,10/10/2023,-1050,Out of Support
,Windows Server 2012 R2,for Embedded Systems,Extended Security Update Year 1,,Fixed,11/10/2023,08/10/2024,-686,Out of Support
,Windows Server 2012 R2,for Embedded Systems,Extended Security Update Year 2,,Fixed,09/10/2024,14/10/2025,-315,Out of Support
,Windows Server 2012 R2,for Embedded Systems,Original Release,,Fixed,25/11/2013,10/10/2023,-1050,Out of Support
,Windows Server 2012 R2,Foundation,Extended Security Update Year 1,,Fixed,11/10/2023,08/10/2024,-686,Out of Support
,Windows Server 2012 R2,Foundation,Extended Security Update Year 2,,Fixed,09/10/2024,14/10/2025,-315,Out of Support
,Windows Server 2012 R2,Foundation,Original Release,,Fixed,25/11/2013,10/10/2023,-1050,Out of Support
,Windows Server 2012 R2,Standard,Extended Security Update Year 1,,Fixed,11/10/2023,08/10/2024,-686,Out of Support
,Windows Server 2012 R2,Standard,Extended Security Update Year 2,,Fixed,09/10/2024,14/10/2025,-315,Out of Support
,Windows Server 2012 R2,Standard,Original Release,,Fixed,25/11/2013,10/10/2023,-1050,Out of Support
,Windows Server 2016 Nano Server installation option,Datacenter,Original Release,,Modern,15/10/2016,09/10/2018,-2877,Out of Support
,Windows Server 2016 Nano Server installation option,Standard,Original Release,,Modern,15/10/2016,09/10/2018,-2877,Out of Support
,Windows Server 2025 Datacenter,Azure,Original Release,,Modern,10/09/2024,31/12/2099,26791,Out of Support
,Windows Server Annual Channel,Datacenter,Version 23H2,,Modern,24/10/2023,24/10/2025,-305,Out of Support
,Windows Server Semi-Annual Channel,Datacenter,Version 1709,,Modern,17/10/2017,09/04/2019,-2695,Out of Support
,Windows Server Semi-Annual Channel,Datacenter,Version 1803,,Modern,30/04/2018,12/11/2019,-2478,Out of Support
,Windows Server Semi-Annual Channel,Datacenter,Version 1809,,Modern,02/10/2018,10/11/2020,-2114,Out of Support
,Windows Server Semi-Annual Channel,Datacenter,Version 1903,,Modern,21/05/2019,08/12/2020,-2086,Out of Support
,Windows Server Semi-Annual Channel,Datacenter,Version 1909,,Modern,12/11/2019,11/05/2021,-1932,Out of Support
,Windows Server Semi-Annual Channel,Datacenter,Version 2004,,Modern,27/05/2020,14/12/2021,-1715,Out of Support
,Windows Server Semi-Annual Channel,Datacenter,Version 20H2,,Modern,20/10/2020,09/08/2022,-1477,Out of Support
,Windows Server Semi-Annual Channel,Standard,Version 1709,,Modern,17/10/2017,09/04/2019,-2695,Out of Support
,Windows Server Semi-Annual Channel,Standard,Version 1803,,Modern,30/04/2018,12/11/2019,-2478,Out of Support
,Windows Server Semi-Annual Channel,Standard,Version 1809,,Modern,02/10/2018,10/11/2020,-2114,Out of Support
,Windows Server Semi-Annual Channel,Standard,Version 1903,,Modern,21/05/2019,08/12/2020,-2086,Out of Support
,Windows Server Semi-Annual Channel,Standard,Version 1909,,Modern,12/11/2019,11/05/2021,-1932,Out of Support
,Windows Server Semi-Annual Channel,Standard,Version 2004,,Modern,27/05/2020,14/12/2021,-1715,Out of Support
,Windows Server Semi-Annual Channel,Standard,Version 20H2,,Modern,20/10/2020,09/08/2022,-1477,Out of Support
,Windows Server Update Services 3.0,,Original Release,,Fixed,10/07/2007,14/07/2009,-6251,Out of Support
,Windows Server Update Services 3.0,,Service Pack 1,,Fixed,17/04/2008,12/10/2010,-5796,Out of Support
,Windows Server Update Services 3.0,,Service Pack 2,,Fixed,25/08/2009,14/01/2020,-2415,Out of Support
,Windows Server Update Services for Windows Server 2012,,Original Release,,Component,30/10/2012,10/10/2023,-1050,Out of Support
,Windows Server Update Services for Windows Server 2012 R2,,Original Release,,Component,25/11/2013,10/10/2023,-1050,Out of Support
,Windows Small Business Server 2008,Premium,Original Release,,Fixed,21/11/2008,14/01/2020,-2415,Out of Support
,Windows Small Business Server 2008,Standard,Original Release,,Fixed,21/11/2008,14/01/2020,-2415,Out of Support
,Windows Small Business Server 2011,Essentials,Original Release,,Fixed,09/03/2011,31/12/2099,26791,Out of Support
,Windows Small Business Server 2011,Premium Add-On,Original Release,,Fixed,09/03/2011,31/12/2099,26791,Out of Support
,Windows Small Business Server 2011,Standard,Original Release,,Fixed,09/03/2011,31/12/2099,26791,Out of Support
,Windows Storage Server 2003,,Original Release,,Fixed,05/05/2003,10/04/2007,-7077,Out of Support
,Windows Storage Server 2003 R2,Standard,Original Release,,Fixed,05/03/2006,14/04/2009,-6342,Out of Support
,Windows Storage Server 2003 R2,Standard,Service Pack 2,,Fixed,13/03/2007,14/07/2015,-4060,Out of Support
,Windows Storage Server 2008,Basic,Original Release,,Fixed,19/07/2009,12/07/2011,-5523,Out of Support
,Windows Storage Server 2008,Basic,Service Pack 2,,Fixed,19/07/2009,14/01/2020,-2415,Out of Support
,Windows Storage Server 2008,Basic 32-Bit,Original Release,,Fixed,19/07/2009,12/07/2011,-5523,Out of Support
,Windows Storage Server 2008,Basic 32-Bit,Service Pack 2,,Fixed,19/07/2009,14/01/2020,-2415,Out of Support
,Windows Storage Server 2008,Basic 64-bit,Original Release,,Fixed,19/07/2009,12/07/2011,-5523,Out of Support
,Windows Storage Server 2008,Basic 64-bit,Service Pack 2,,Fixed,19/07/2009,14/01/2020,-2415,Out of Support
,Windows Storage Server 2008,Basic Embedded,Original Release,,Fixed,19/07/2009,12/07/2011,-5523,Out of Support
,Windows Storage Server 2008,Basic Embedded,Service Pack 2,,Fixed,19/07/2009,14/01/2020,-2415,Out of Support
,Windows Storage Server 2008,Basic Embedded 32-bit,Original Release,,Fixed,19/07/2009,12/07/2011,-5523,Out of Support
,Windows Storage Server 2008,Basic Embedded 32-bit,Service Pack 2,,Fixed,19/07/2009,14/01/2020,-2415,Out of Support
,Windows Storage Server 2008,Enterprise,Original Release,,Fixed,19/07/2009,12/07/2011,-5523,Out of Support
,Windows Storage Server 2008,Enterprise,Service Pack 2,,Fixed,19/07/2009,14/01/2020,-2415,Out of Support
,Windows Storage Server 2008,Enterprise Embedded,Original Release,,Fixed,19/07/2009,12/07/2011,-5523,Out of Support
,Windows Storage Server 2008,Enterprise Embedded,Service Pack 2,,Fixed,19/07/2009,14/01/2020,-2415,Out of Support
,Windows Storage Server 2008,Standard,Original Release,,Fixed,19/07/2009,12/07/2011,-5523,Out of Support
,Windows Storage Server 2008,Standard,Service Pack 2,,Fixed,19/07/2009,14/01/2020,-2415,Out of Support
,Windows Storage Server 2008,Standard Embedded,Original Release,,Fixed,19/07/2009,12/07/2011,-5523,Out of Support
,Windows Storage Server 2008,Standard Embedded,Service Pack 2,,Fixed,19/07/2009,14/01/2020,-2415,Out of Support
,Windows Storage Server 2008,Workgroup,Original Release,,Fixed,19/07/2009,12/07/2011,-5523,Out of Support
,Windows Storage Server 2008,Workgroup,Service Pack 2,,Fixed,19/07/2009,14/01/2020,-2415,Out of Support
,Windows Storage Server 2008 Embedded,32 Bit,Original Release,,Fixed,19/07/2009,12/07/2011,-5523,Out of Support
,Windows Storage Server 2008 Embedded,64 Bit,Original Release,,Fixed,19/07/2009,12/07/2011,-5523,Out of Support
,Windows Storage Server 2008 Embedded,Basic,Original Release,,Fixed,19/07/2009,12/07/2011,-5523,Out of Support
